"region","hbcu","tribal","urban","open","landGrant","associates","allDistance","partDistance","studyAbroad","weekend","remedial","counseling","dayCare","oncampusHousing","mealPlan","instateTuition","size","facultyRatio","grantAid","loanAid","minorityEnroll","placeEmploy","tuitionOptions"
"PL","No","No","City:S","Yes","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",12165,"<1,000",15,4142,8978,22,"Yes","Yes"
"PL","No","No","City:S","No","Yes","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6648,"20,000+",19,6552,6201,8,"Yes","Yes"
"PL","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",26806,"<1,000",14,7120,7674,15,"Yes","Yes"
"PL","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",6678,"20,000+",15,8428,6774,10,"Yes","Yes"
"PL","No","No","City:S","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",29190,"1-4,999",12,18403,6990,8,"Yes","Yes"
"PL","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",38940,"1-4,999",12,23683,7183,6,"Yes","Yes"
"PL","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",26000,"1-4,999",11,17668,10244,15,"Yes","Yes"
"PL","No","No","City:M","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",16268,"<1,000",9,6663,8188,9,"Yes","Yes"
"PL","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",26680,"1-4,999",13,17045,7242,8,"Yes","Yes"
"PL","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",28226,"1-4,999",14,12425,9233,9,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Implied no","Implied no","Yes","Implied no","Yes","Yes",10320,"20,000+",13,4235,7209,46,"Yes","Yes"
"PL","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",6648,"10-19,999",17,5424,6159,6,"Yes","Yes"
"PL","No","No","Town:D","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",28750,"1-4,999",13,18654,7017,6,"Yes","Yes"
"PL","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",28100,"1-4,999",10,18943,7182,9,"Yes","Yes"
"PL","No","No","Town:F","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",33532,"1-4,999",12,19490,7373,5,"Yes","Yes"
"PL","No","No","Rural:R","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",27323,"1-4,999",17,8825,9489,24,"Yes","Yes"
"PL","No","No","Town:R","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",19804,"1-4,999",23,8289,7945,23,"No","No"
"PL","No","No","Town:D","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",36210,"1-4,999",11,23892,6919,8,"Yes","Yes"
"PL","No","No","Town:R","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",19883,"1-4,999",16,14107,7660,25,"Yes","Yes"
"PL","No","No","Town:F","No","No","Yes","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",26730,"1-4,999",12,13269,8074,15,"Yes","No"
"PL","No","No","Town:D","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",25950,"1-4,999",13,14651,7008,8,"Yes","Yes"
"PL","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",25250,"<1,000",13,17075,6961,32,"Yes","Yes"
"PL","No","No","Town:D","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",25410,"<1,000",10,13129,7556,21,"Yes","Yes"
"PL","No","No","Suburb:L","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",11772,"<1,000",8,4041,6156,31,"Yes","Yes"
"PL","No","No","Town:R","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",11772,"<1,000",9,4959,6452,25,"Yes","Yes"
"PL","No","No","Town:R","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",15874,"1-4,999",24,13101,9279,34,"Yes","Yes"
"PL","No","No","City:M","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",6720,"<1,000",10,3940,1154,79,"Yes","Yes"
"PL","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",4662,"5-9,999",18,5912,6631,12,"Yes","Yes"
"PL","No","No","Town:R","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",3574,"10-19,999",16,4197,6964,11,"Yes","Yes"
"PL","No","No","Rural:R","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",11000,"<1,000",11,16836,6578,16,"Yes","Yes"
"PL","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",25050,"1-4,999",11,18171,9114,15,"Yes","Yes"
"PL","No","No","Town:D","Yes","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",24824,"<1,000",9,14361,6311,17,"Yes","Yes"
"PL","No","No","City:L","No","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",18335,"<1,000",21,4386,7184,42,"Yes","No"
"PL","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Yes","Yes","Yes",9123,"20,000+",16,7075,6932,11,"Yes","Yes"
"PL","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",24920,"1-4,999",14,15548,7509,14,"Yes","Yes"
"PL","No","No","City:S","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",8517,"20,000+",19,5466,6681,11,"Yes","Yes"
"PL","No","No","Town:R","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",26600,"<1,000",13,15698,7598,24,"Yes","Yes"
"PL","No","No","City:S","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",13800,"<1,000",17,6581,9201,12,"Yes","Yes"
"PL","No","No","Town:R","No","No","Implied no","No","Implied no","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",24559,"<1,000",13,14661,9970,22,"Yes","Yes"
"PL","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Implied no","Implied no","Yes","Yes",26150,"1-4,999",7,19344,8580,20,"No","Yes"
"PL","No","No","Town:D","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",25350,"<1,000",18,18805,8882,16,"Yes","Yes"
"PL","No","No","City:M","No","No","Implied no","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",11760,"<1,000",10,5260,10286,11,"No","No"
"PL","No","No","Town:D","No","No","Yes","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",5114,"5-9,999",18,4292,6372,9,"Yes","Yes"
"PL","No","No","Town:F","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",24900,"1-4,999",8,14082,7966,26,"Yes","Yes"
"PL","No","No","Town:D","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",25796,"1-4,999",8,10195,9367,20,"Yes","Yes"
"PL","No","No","Rural:D","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",22700,"<1,000",12,12154,7295,24,"Yes","Yes"
"PL","No","No","City:M","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",6240,"5-9,999",13,6420,7242,12,"Yes","Yes"
"PL","No","No","City:L","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",6081,"10-19,999",18,4850,7466,16,"Yes","Yes"
"SE","No","No","Rural:R","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",9600,"<1,000",17,9336,4583,1,"Yes","Yes"
"SE","No","No","Town:F","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",27538,"1-4,999",11,14102,7222,5,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",36210,"1-4,999",12,24156,6930,7,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",19950,"1-4,999",13,11091,8728,19,"Yes","Yes"
"SE","No","No","Town:D","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",23328,"1-4,999",13,14082,6008,12,"Yes","Yes"
"SE","No","No","Town:D","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",38200,"1-4,999",11,22916,6582,8,"Yes","Yes"
"SE","No","No","Rural:D","Yes","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes","Yes",6072,"<1,000",12,5915,7554,0,"Yes","No"
"SE","No","No","Suburb:L","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",18335,"1-4,999",10,3517,7036,15,"Yes","Yes"
"SE","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",20640,"5-9,999",15,14469,5675,9,"No","Yes"
"SE","No","No","Town:D","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",8150,"10-19,999",16,6277,7056,8,"Yes","Yes"
"SE","No","No","Town:F","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",34280,"1-4,999",10,26211,7463,11,"Yes","Yes"
"SE","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",11412,"<1,000",8,5584,6777,39,"Yes","Yes"
"SE","No","No","Rural:D","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",6750,"<1,000",14,7171,4721,2,"Yes","Yes"
"SE","Yes","No","Town:D","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",7364,"1-4,999",11,8595,7814,55,"Yes","Yes"
"SE","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",22450,"<1,000",12,20796,7041,16,"Yes","Yes"
"SE","No","No","City:L","No","Yes","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",9687,"20,000+",17,8708,6944,11,"Yes","Yes"
"SE","No","No","Town:D","No","No","Implied no","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",17400,"<1,000",12,11220,7015,10,"Yes","Yes"
"SE","No","No","Town:R","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",22920,"1-4,999",16,16529,7648,10,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",10542,"20,000+",13,8477,6663,15,"Yes","Yes"
"SE","No","No","Rural:D","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",22000,"1-4,999",15,12228,7781,13,"Yes","Yes"
"SE","No","No","Town:R","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",8098,"10-19,999",18,7699,6882,4,"Yes","Yes"
"SE","No","No","Town:R","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",6552,"10-19,999",15,8016,7941,9,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",8736,"10-19,999",19,6866,7120,10,"Yes","Yes"
"SE","No","No","City:S","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",17000,"<1,000",12,3338,11572,10,"Yes","Yes"
"SE","No","No","Town:R","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",18840,"1-4,999",15,15959,7212,10,"Yes","Yes"
"SE","No","No","City:L","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",11772,"<1,000",11,4384,6069,44,"Yes","Yes"
"SE","No","No","Rural:D","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",19732,"<1,000",10,11686,6777,13,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",24000,"1-4,999",14,16461,5406,22,"Yes","Yes"
"SE","No","No","Suburb:L","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",17940,"<1,000",7,4680,7988,21,"Yes","Yes"
"SE","No","No","Suburb:L","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","Yes","Yes",19200,"1-4,999",18,5466,8935,19,"Yes","No"
"SE","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",27268,"1-4,999",16,21579,8120,8,"Yes","Yes"
"SE","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",32970,"1-4,999",11,21870,7212,9,"Yes","Yes"
"SE","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",22720,"1-4,999",12,16635,6918,13,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",9482,"20,000+",18,6699,7015,12,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",33430,"<1,000",8,22677,7145,21,"Yes","Yes"
"SE","No","No","Rural:F","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes","Yes",4851,"1-4,999",20,5992,7694,20,"Yes","Yes"
"SE","No","No","City:M","No","Yes","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",7552,"20,000+",23,9670,6596,18,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","No","No",5630,"1-4,999",20,7175,7550,25,"Yes","Yes"
"SE","No","No","Suburb:S","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",13200,"1-4,999",11,9941,7500,31,"Yes","Yes"
"SE","No","No","Town:D","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",6400,"10-19,999",23,8703,6631,16,"Yes","No"
"SE","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Yes","Yes","Yes",36214,"1-4,999",12,20881,5760,33,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",5147,"5-9,999",20,6425,6413,20,"Yes","Yes"
"SE","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",7150,"5-9,999",20,7606,6431,27,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",4922,"5-9,999",19,6745,6438,22,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5484,"5-9,999",21,8700,6302,25,"Yes","Yes"
"SE","No","No","Town:R","No","No","Yes","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",5180,"5-9,999",20,7438,7322,32,"Yes","Yes"
"SE","No","No","City:L","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",10310,"1-4,999",10,5103,7800,31,"Yes","Yes"
"SE","No","No","City:M","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",10387,"1-4,999",10,5218,7451,30,"No","Yes"
"SE","No","No","Rural:F","Yes","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",14610,"<1,000",8,5267,5699,21,"No","No"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",5278,"10-19,999",22,6729,5994,23,"Yes","No"
"SE","Yes","No","City:L","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",4483,"1-4,999",15,11750,8135,86,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5407,"10-19,999",23,6839,6248,25,"Yes","Yes"
"SE","No","No","City:L","No","No","Yes","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",45758,"10-19,999",9,25669,8095,15,"Yes","Yes"
"SE","Yes","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",19800,"1-4,999",14,11798,8029,80,"Yes","Yes"
"NE","No","No","City:S","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",10620,"<1,000",21,4388,6464,6,"Yes","Yes"
"NE","No","No","Town:D","Yes","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","No","No",6510,"1-4,999",16,4816,7375,3,"Yes","Yes"
"NE","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",8352,"1-4,999",14,6852,6773,4,"Yes","Yes"
"NE","No","No","Rural:R","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",6600,"1-4,999",15,4967,6543,4,"Yes","Yes"
"NE","No","No","Rural:R","Yes","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes","Yes",6660,"<1,000",12,8035,6362,7,"Yes","Yes"
"NE","No","No","Suburb:S","No","Yes","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",8370,"10-19,999",16,8645,6861,5,"Yes","Yes"
"NE","No","No","Rural:D","No","No","Yes","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",9760,"1-4,999",13,6337,6975,2,"Yes","Yes"
"NE","No","No","Rural:F","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",6600,"1-4,999",15,5889,5343,3,"Yes","Yes"
"NE","No","No","Suburb:M","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",33540,"5-9,999",13,17276,7402,2,"Yes","Yes"
"NE","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",31560,"<1,000",10,15154,7177,6,"Yes","Yes"
"NE","No","No","Rural:F","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",32620,"1-4,999",12,15807,6836,3,"Yes","Yes"
"NE","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",6578,"5-9,999",16,6125,6825,5,"Yes","Yes"
"NE","No","No","Rural:F","No","No","Yes","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",23640,"1-4,999",19,13723,7475,5,"Yes","Yes"
"NE","No","No","Rural:R","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",25600,"<1,000",12,13407,7113,3,"Yes","Yes"
"ME","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","No","No",6480,"5-9,999",15,4543,7611,52,"Yes","Yes"
"ME","Yes","No","Suburb:L","No","No","Implied no","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",5217,"5-9,999",16,7238,7257,89,"Yes","Yes"
"ME","No","No","Suburb:L","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","No",22788,"<1,000",12,11169,7907,48,"Yes","Yes"
"ME","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",21190,"1-4,999",7,10624,8385,56,"Yes","Yes"
"ME","Yes","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4294,"1-4,999",13,5754,7534,84,"Yes","Yes"
"ME","No","No","Suburb:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",6214,"5-9,999",16,6480,7887,36,"Yes","Yes"
"ME","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",41400,"1-4,999",11,24013,6964,21,"Yes","Yes"
"ME","No","No","Suburb:M","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",13356,"<1,000",21,4943,6216,20,"Yes","Yes"
"ME","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",34630,"1-4,999",11,20994,7362,21,"Yes","Yes"
"ME","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",43800,"5-9,999",11,25481,6339,15,"Yes","Yes"
"ME","No","No","Suburb:L","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",6696,"20,000+",22,7103,7787,39,"Yes","Yes"
"ME","No","No","City:L","No","No","Implied no","No","Yes","Implied no","Implied no","Implied no","Yes","Implied no","Yes","No",8329,"5-9,999",7,6223,9103,24,"Yes","Yes"
"ME","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",8044,"10-19,999",19,8072,7038,23,"Yes","Yes"
"ME","No","No","Suburb:L","No","Yes","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",8152,"20,000+",17,8855,6595,22,"Yes","Yes"
"ME","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",42280,"1-4,999",9,17186,7233,13,"Yes","Yes"
"ME","Yes","No","Town:F","No","Yes","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5005,"1-4,999",15,11519,6125,76,"Yes","Yes"
"ME","Yes","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",5060,"5-9,999",15,7251,7603,87,"Yes","Yes"
"ME","No","No","Town:F","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",36250,"1-4,999",12,20091,6809,21,"Yes","Yes"
"ME","No","No","Suburb:L","No","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",10900,"<1,000",18,10452,7554,0,"Yes","Yes"
"ME","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Yes","Yes","Yes",32548,"1-4,999",12,16142,8431,33,"Yes","Yes"
"ME","No","No","Suburb:S","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",6712,"5-9,999",16,5007,6645,17,"Yes","Yes"
"ME","No","No","Suburb:S","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",11195,"1-4,999",10,8700,6614,16,"Yes","Yes"
"ME","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",6430,"20,000+",17,7869,6600,24,"Yes","Yes"
"US","No","No","Suburb:L","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",18335,"1-4,999",8,10202.7231869909,7554,18,"Yes","No"
"ME","No","No","Rural:F","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",28864,"1-4,999",14,14909,7782,32,"Yes","Yes"
"ME","No","No","Town:D","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",42844,"1-4,999",11,22840,6589,8,"Yes","Yes"
"ME","No","No","Suburb:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",39500,"1-4,999",11,25762,7238,19,"Yes","Yes"
"NE","No","No","City:L","Yes","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",10400,"1-4,999",19,2658,2841,16,"Yes","Yes"
"NE","No","No","City:M","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",31870,"1-4,999",14,21622,8026,39,"Yes","Yes"
"NE","No","No","Rural:F","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",32880,"1-4,999",11,14864,7277,18,"Yes","Yes"
"NE","No","No","City:M","No","No","Yes","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",35510,"1-4,999",12,19746,7145,12,"Yes","Yes"
"NE","No","No","City:L","No","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",11400,"<1,000",8,3900,7265,9,"Yes","Yes"
"NE","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",31785,"1-4,999",12,11044,8536,33,"Yes","Yes"
"NE","No","No","City:L","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",21024,"1-4,999",15,5993,8826,27,"Yes","Yes"
"NE","No","No","City:M","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",31230,"1-4,999",17,14506,7568,16,"Yes","Yes"
"NE","No","No","City:S","No","No","Yes","No","Implied no","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",42550,"5-9,999",12,26078,7088,10,"Yes","Yes"
"NE","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",38940,"5-9,999",11,16171,7419,13,"Yes","Yes"
"NE","No","No","City:L","Yes","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",21823,"<1,000",7,5339,8158,18,"Yes","Yes"
"NE","No","No","City:L","No","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",41560,"<1,000",6,17733,6905,13,"Yes","Yes"
"NE","No","No","City:M","Yes","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","No","No",14004,"1-4,999",14,3532,7567,70,"Yes","Yes"
"NE","No","No","Suburb:L","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","No","No",33015,"<1,000",6,13611,7278,38,"Yes","Yes"
"NE","No","No","City:M","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",41590,"1-4,999",10,22570,7385,11,"Yes","Yes"
"NE","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",34730,"1-4,999",10,16366,7399,15,"Yes","Yes"
